#A,B,Z,Z_correct,Error
00000000,00000000, , , ,
00000000,00000000, , , ,
3E9E377A,3E9E377A, , , ,
25A00002,25A00002, , , ,
3F4F1BBD,3F4F1BBD, , , ,
25400003,25400003, , , ,
3F800000,3F800000,00000000,00000000,ok,
A5E00002,A5E00002,3D800000,3DC3910D,error,
3F4F1BBD,3F4F1BBD,0B800000,0BC80005,error,
A6900000,A6900000,3E800000,3F278DDF,error,
3E9E377A,3E9E377A,0A800000,0B100005,error,
00000000,00000000,3F800000,3F800000,error,
00000000,00000000,0B800000,0C440004,error,
00000000,00000000,3E800000,3F278DDF,error,
00000000,00000000,0D800000,0DA20000,error,
00000000,00000000,3D800000,3DC3910D,error,
00000000,00000000, , , ,
